Algoritmo,Tamanho do número,Número gerado,Tempo para gerar em µs
Congruência Linear,56 bits,59797603162428396,0.2999986463692039
Congruência Linear,56 bits,35277621411429323,0.2999986463692039
Congruência Linear,56 bits,33775270196360040,0.400003045797348
Congruência Linear,56 bits,29268216551152191,0.300002284348011
Congruência Linear,56 bits,15747055615528644,0.300002284348011
Congruência Linear,56 bits,47241166846585939,0.200001522898674
Congruência Linear,56 bits,69665906501829888,0.39999940781854093
Congruência Linear,80 bits,379468033942656785525491,0.6000009307172149
Congruência Linear,80 bits,1138404101827970356576480,0.300002284348011
Congruência Linear,80 bits,997360666254652720317095,0.5000001692678779
Congruência Linear,80 bits,574230359534699811538940,0.39999940781854093
Congruência Linear,80 bits,513765258989470259910651,0.400003045797348
Congruência Linear,80 bits,332369957353781605025784,0.2999986463692039
Congruência Linear,80 bits,997109872061344815077359,0.2999986463692039
Congruência Linear,80 bits,573477976954776095819732,0.2999986463692039
Congruência Linear,80 bits,511508111249699112753027,0.39999940781854093
Congruência Linear,80 bits,325598514134468163552912,0.2999986463692039
Congruência Linear,80 bits,976795542403404490658743,0.2999986463692039
Congruência Linear,80 bits,512534987980955122563884,0.300002284348011
Congruência Linear,80 bits,328679144328236192985483,0.300002284348011
Congruência Linear,80 bits,986037432984708578956456,0.200001522898674
Congruência Linear,80 bits,540260659724867387457023,0.300002284348011
Congruência Linear,80 bits,411856159559972987664900,0.39999940781854093
Congruência Linear,80 bits,26642659065289788288531,0.2999986463692039
Congruência Linear,80 bits,79927977195869364865600,0.2999986463692039
Congruência Linear,80 bits,239783931587608094596807,0.2999986463692039
Congruência Linear,80 bits,719351794762824283790428,0.19999788491986692
Congruência Linear,80 bits,949129564673843676665115,0.39999940781854093
Congruência Linear,80 bits,429537054792272680583000,0.2999986463692039
Congruência Linear,80 bits,79685344762188867042831,0.2999986463692039
Congruência Linear,80 bits,239056034286566601128500,0.19999788491986692
Congruência Linear,80 bits,717168102859699803385507,0.2999986463692039
Congruência Linear,80 bits,942578488964470235450352,0.300002284348011
Congruência Linear,80 bits,409883827664152356938711,0.300002284348011
Congruência Linear,80 bits,20725663377827896109964,0.300002284348011
Congruência Linear,80 bits,62176990133483688329899,0.200001522898674
Congruência Linear,80 bits,186530970400451064989704,0.300002284348011
Congruência Linear,80 bits,559592911201353194969119,0.300002284348011
Congruência Linear,80 bits,469852913989430410201188,0.300002284348011
Congruência Linear,80 bits,200632922353662055897395,0.39999940781854093
Congruência Linear,80 bits,601898767060986167692192,0.2999986463692039
Congruência Linear,80 bits,596770481568329328370407,0.2999986463692039
Congruência Linear,80 bits,581385625090358810405052,0.2999986463692039
Congruência Linear,80 bits,535231055656447256508987,0.39999940781854093
Congruência Linear,80 bits,396767347354712594820792,0.300002284348011
Congruência Linear,80 bits,1190302042064137784462383,0.200001522898674
Congruência Linear,80 bits,1153054486963155003974804,0.39999940781854093
Congruência Linear,80 bits,1041311821660206662512067,0.39999940781854093
Congruência Linear,80 bits,706083825751361638123856,0.2999986463692039
Congruência Linear,80 bits,909325657639455739665399,0.2999986463692039
Congruência Linear,80 bits,310125333689108869583852,0.39999940781854093
Congruência Linear,80 bits,930376001067326608751563,0.19999788491986692
Congruência Linear,80 bits,373276363972721476842344,0.39999940781854093
Congruência Linear,80 bits,1119829091918164430527039,0.19999788491986692
Congruência Linear,80 bits,941635636525234942168772,0.39999940781854093
Congruência Linear,80 bits,407055270346446477093971,0.2999986463692039
Congruência Linear,80 bits,12239991424710256575744,0.300002284348011
Congruência Linear,128 bits,332190459616475871163716931920341183219,0.6000009307172149
Congruência Linear,128 bits,316006645007550686564401580897487126752,0.39999940781854093
Congruência Linear,128 bits,267455201180775132766455527828924957351,0.5000001692678779
Congruência Linear,128 bits,121800869700448471372617368623238449148,0.39999940781854093
Congruência Linear,128 bits,25120242180406950654477498437947135995,0.39999940781854093
Congruência Linear,128 bits,75360726541220851963432495313841407992,0.2999986463692039
Congruência Linear,128 bits,226082179623662555890297485941524223983,0.2999986463692039
Congruência Linear,128 bits,337964171950049204207517850392804460500,0.39999940781854093
Congruência Linear,128 bits,333327782008270685695804336314876958595,0.400003045797348
Congruência Linear,128 bits,319418612182935130160663794081094452880,0.300002284348011
Congruência Linear,128 bits,277691102706928463555242167379746935735,0.39999940781854093
Congruência Linear,128 bits,152508574278908463738977287275704384300,0.2999986463692039
Congruência Linear,128 bits,117243355915786927753557254395344941451,0.2999986463692039
Congruência Linear,128 bits,11447700826422319797297155754266612904,0.39999940781854093
Congruência Linear,128 bits,34343102479266959391891467262799838719,0.19999788491986692
Congruência Linear,128 bits,103029307437800878175674401788399516164,0.2999986463692039
Congruência Linear,128 bits,309087922313402634527023205365198548499,0.2999986463692039
Congruência Linear,128 bits,246699033098330976654320401232059222592,1.6000012692529708
Congruência Linear,128 bits,59532365453116003036211988832641244871,0.39999940781854093
Congruência Linear,128 bits,178597096359348009108635966497923734620,0.200001522898674
Congruência Linear,128 bits,195508922157105563862533292062002992411,0.39999940781854093
Congruência Linear,128 bits,246244399550378228124225268754240765784,0.300002284348011
Congruência Linear,128 bits,58168464809257757445926591399185874447,0.300002284348011
Congruência Linear,128 bits,174505394427773272337779774197557623348,0.200001522898674
Congruência Linear,128 bits,183233816362381353549964715160904658595,0.39999940781854093
Congruência Linear,128 bits,209419082166205597186519538050945764336,0.2999986463692039
Congruência Linear,128 bits,287974879577678328096184006721069081559,0.39999940781854093
Congruência Linear,128 bits,183359904891158057361802805299670821772,0.300002284348011
Congruência Linear,128 bits,209797347752535708622033808467244253867,0.300002284348011
Congruência Linear,128 bits,289109676336668662402726817969964550152,0.300002284348011
Congruência Linear,128 bits,186764295168129060281431239046357227551,0.2999986463692039
Congruência Linear,128 bits,220010518583448717380919109707303471204,0.2999986463692039
Congruência Linear,128 bits,319749188829407688679382721690142202163,0.39999940781854093
Congruência Linear,128 bits,278682832646346139111398950206890183584,0.39999940781854093
Congruência Linear,128 bits,155483764097161490407447635757134127847,0.400003045797348
Congruência Linear,128 bits,126168925370546007758968299839634172092,0.2999986463692039
Congruência Linear,128 bits,38224409190699559813530292087134304827,0.39999940781854093
Congruência Linear,128 bits,114673227572098679440590876261402914488,0.19999788491986692
Congruência Linear,128 bits,3737315795357574858398021352440532015,0.39999940781854093
Congruência Linear,128 bits,11211947386072724575194064057321596052,0.19999788491986692
Congruência Linear,128 bits,33635842158218173725582192171964788163,0.39999940781854093
Congruência Linear,128 bits,100907526474654521176746576515894364496,0.300002284348011
Congruência Linear,128 bits,302722579423963563530239729547683093495,0.300002284348011
Congruência Linear,128 bits,227603004430013763663969973779512857580,0.300002284348011
Congruência Linear,128 bits,2244279448164364065160706475002149835,0.400003045797348
Congruência Linear,128 bits,6732838344493092195482119425006449512,0.200001522898674
Congruência Linear,128 bits,20198515033479276586446358275019348543,0.300002284348011
Congruência Linear,128 bits,60595545100437829759339074825058045636,0.200001522898674
Congruência Linear,128 bits,181786635301313489278017224475174136915,0.300002284348011
Congruência Linear,128 bits,205077538983002004370677065993754199296,0.300002284348011
Congruência Linear,168 bits,252317866089047733793676770723289736875239838526195,0.6999980541877449
Congruência Linear,168 bits,8664759953720907260743677819132304561882053574880,0.39999940781854093
Congruência Linear,168 bits,25994279861162721782231033457396913685646160724647,0.200001522898674
Congruência Linear,168 bits,77982839583488165346693100372190741056938482173948,0.200001522898674
Congruência Linear,168 bits,233948518750464496040079301116572223170815446521851,0.300002284348011
Congruência Linear,168 bits,327701137094682341060094586174348216480527608563704,0.400003045797348
Congruência Linear,168 bits,234814572970624729059997124172307743377745363687407,0.39999940781854093
Congruência Linear,168 bits,330299299755163040119848055341554777101317360060372,0.39999940781854093
Congruência Linear,168 bits,242609060952066826239257531673927425240114618177411,0.39999940781854093
Congruência Linear,168 bits,353682763699489331657629277846413822688425123530384,0.400003045797348
Congruência Linear,168 bits,312759452785045700852601199188504562001437908587447,0.300002284348011
Congruência Linear,168 bits,189989520041714808437516963214776779940476263758636,0.39999940781854093
Congruência Linear,168 bits,195824140968433278252407572468961886789510060274059,0.2999986463692039
Congruência Linear,168 bits,213328003748588687697079400231517207336611449820328,0.39999940781854093
Congruência Linear,168 bits,265839592089054916031094883519183168977915618459135,0.2999986463692039
Congruência Linear,168 bits,49229937953742453972998016206812600869909393373700,0.2999986463692039
Congruência Linear,168 bits,147689813861227361918994048620437802609728180121107,0.300002284348011
Congruência Linear,168 bits,68925022426970938696838828685944954797265809361472,0.300002284348011
Congruência Linear,168 bits,206775067280912816090516486057834864391797428084423,0.300002284348011
Congruência Linear,168 bits,246180782686027301211406140998136140143473553251420,0.2999986463692039
Congruência Linear,168 bits,364397928901370756574075105819039967398501928752411,0.2999986463692039
Congruência Linear,168 bits,344904948390689975601938683106382996131668324253528,0.39999940781854093
Congruência Linear,168 bits,286426006858647632685529414968412082331167510756879,0.2999986463692039
Congruência Linear,168 bits,110989182262520603936301610554499340929665070266932,0.2999986463692039
Congruência Linear,168 bits,332967546787561811808904831663498022788995210800803,0.2999986463692039
Congruência Linear,168 bits,250613802049263141306427860639757162303148170398704,0.300002284348011
Congruência Linear,168 bits,3552567834367129798996947568534580845607049192407,0.400003045797348
Congruência Linear,168 bits,10657703503101389396990842705603742536821147577228,0.200001522898674
Congruência Linear,168 bits,31973110509304168190972528116811227610463442731691,0.300002284348011
Congruência Linear,168 bits,95919331527912504572917584350433682831390328195080,0.300002284348011
Congruência Linear,168 bits,287757994583737513718752753051301048494170984585247,0.200001522898674
Congruência Linear,168 bits,114985145437790247035971624803166239418675491752036,0.300002284348011
Congruência Linear,168 bits,344955436313370741107914874409498718256026475256115,0.300002284348011
Congruência Linear,168 bits,286577470626689929203457988877759248704241963764640,0.2999986463692039
Congruência Linear,168 bits,111443573566647493490087332282540840048888429290215,0.39999940781854093
Congruência Linear,168 bits,334330720699942480470261996847622520146665287870652,0.19999788491986692
Congruência Linear,168 bits,254703323786405147290499356192130654376158401608251,0.39999940781854093
Congruência Linear,168 bits,15821133045793147751211434225655057064637742821048,0.2999986463692039
Congruência Linear,168 bits,47463399137379443253634302676965171193913228463151,0.2999986463692039
Congruência Linear,168 bits,142390197412138329760902908030895513581739685389460,0.19999788491986692
Congruência Linear,168 bits,53026173079703842222565406917318087713300325166531,0.39999940781854093
Congruência Linear,168 bits,159078519239111526667696220751954263139900975499600,0.200001522898674
Congruência Linear,168 bits,103091138560623432942945345080494336387784195496951,0.300002284348011
Congruência Linear,168 bits,309273415681870298828836035241483009163352586490860,0.300002284348011
Congruência Linear,168 bits,179531408732188602366221471373712121426220297468875,0.2999986463692039
Congruência Linear,168 bits,164449807039854660038521096945767911246742161404776,0.2999986463692039
Congruência Linear,168 bits,119205001962852833055419973661935280708307753212479,0.39999940781854093
Congruência Linear,168 bits,357615005888558499166259920985805842124923259637444,0.19999788491986692
Congruência Linear,168 bits,324556179352253203378493128606680620310932316908627,0.39999940781854093
Congruência Linear,168 bits,225379699743337316015192751469304954868959488722176,0.2999986463692039
Congruência Linear,224 bits,26362001864992237524299436547068932311768347698878404097818360752883,0.6000009307172149
Congruência Linear,224 bits,25166112260675432983564279467167535588030754251554067331247861760224,0.5000001692678779
Congruência Linear,224 bits,21578443447725019361358808227463345416817973909581057031536364782247,0.39999940781854093
Congruência Linear,224 bits,10815437008873778494742394508350774903179632883662026132401873848316,0.39999940781854093
Congruência Linear,224 bits,5486364359470695689560168438032694035901754228445505916102011295739,0.39999940781854093
Congruência Linear,224 bits,16459093078412087068680505314098082107705262685336517748306033887224,0.2999986463692039
Congruência Linear,224 bits,22417332568085621411374500855274615649478643633468980763814491412463,0.39999940781854093
Congruência Linear,224 bits,13332104369955584644789472391784585601161642055325797329236253738964,0.2999986463692039
Congruência Linear,224 bits,13036366442716114139701402088334126129847781743436819506605150967683,0.39999940781854093
Congruência Linear,224 bits,12149152660997702624437191177982747715906200807769886038711842653840,0.300002284348011
Congruência Linear,224 bits,9487511315842468078644558446928612474081458000769085635031917712311,0.300002284348011
Congruência Linear,224 bits,1502587280376764441266660253766206748607229579766684423992142887724,0.39999940781854093
Congruência Linear,224 bits,4507761841130293323799980761298620245821688739300053271976428663179,0.19999788491986692
Congruência Linear,224 bits,13523285523390879971399942283895860737465066217900159815929285989544,0.2999986463692039
Congruência Linear,224 bits,13609909903022000119532811764667951538758054231159906966684247719423,0.2999986463692039
Congruência Linear,224 bits,13869783041915360563931420206984223942637018270939148418949132909060,0.39999940781854093
Congruência Linear,224 bits,14649402458595441897127245533933041154273910390276872775743788477971,0.2999986463692039
Congruência Linear,224 bits,16988260708635685896714721514779492789184586748290045846127755184704,0.300002284348011
Congruência Linear,224 bits,24004835458756417895477149457318847693916615822329565057279655304903,0.300002284348011
Congruência Linear,224 bits,18094613041967974097097418197917281734475558621907550209631745416284,0.300002284348011
Congruência Linear,224 bits,363945791602642701958224419712583856152387020641505666688015750427,0.2999986463692039
Congruência Linear,224 bits,1091837374807928105874673259137751568457161061924517000064047251288,0.2999986463692039
Congruência Linear,224 bits,3275512124423784317624019777413254705371483185773551000192141753871,0.2999986463692039
Congruência Linear,224 bits,9826536373271352952872059332239764116114449557320653000576425261620,0.200001522898674
Congruência Linear,224 bits,2519662452663419063949162909699661674706204249421386520625665535651,0.39999940781854093
Congruência Linear,224 bits,7558987357990257191847488729098985024118612748264159561876996606960,0.19999788491986692
Congruência Linear,224 bits,22676962073970771575542466187296955072355838244792478685630989820887,0.19999788491986692
Congruência Linear,224 bits,14110992887611035137293368387851603869793225889296291094685748964236,0.39999940781854093
Congruência Linear,224 bits,15373031995682465617213090076535180935742533245348300802953636643499,0.2999986463692039
Congruência Linear,224 bits,19159149319896757056972255142585912133590455313504329927757299681288,0.400003045797348
Congruência Linear,224 bits,3557554625388991581582735253718475053497077095431844821064678545439,0.300002284348011
Congruência Linear,224 bits,10672663876166974744748205761155425160491231286295534463194035636324,0.300002284348011
Congruência Linear,224 bits,5058044961350284439577602196446644807836549436346030908478496659763,0.300002284348011
Congruência Linear,224 bits,15174134884050853318732806589339934423509648309038092725435489979296,0.19999788491986692
Congruência Linear,224 bits,18562457985001920161531404681000172596891800504573705695202859688679,0.39999940781854093
Congruência Linear,224 bits,1767480620704480895260183868961256443401112668639972123401358567612,0.2999986463692039
Congruência Linear,224 bits,5302441862113442685780551606883769330203338005919916370204075702843,0.2999986463692039
Congruência Linear,224 bits,15907325586340328057341654820651307990610014017759749110612227108536,0.19999788491986692
Congruência Linear,224 bits,20762030091870344377357949374934293298192897630738674850733071076399,0.2999986463692039
Congruência Linear,224 bits,8366196941309753542739817950763618547304404047134879589991992730772,0.2999986463692039
Congruência Linear,224 bits,25098590823929260628219453852290855641913212141404638769975978192323,0.2999986463692039
Congruência Linear,224 bits,21375879137486502295324331382833305578465347579132771347720714078544,0.300002284348011
Congruência Linear,224 bits,10207744078158227296638963974460655388121753892317169080954921737207,0.39999940781854093
Congruência Linear,224 bits,3663285567324042095249876836362335490728117254410934761761154962412,0.2999986463692039
Congruência Linear,224 bits,10989856701972126285749630509087006472184351763232804285283464887243,0.2999986463692039
Congruência Linear,224 bits,6009623438765739062581876440241388742915910867157840374746784412520,0.2999986463692039
Congruência Linear,224 bits,18028870316297217187745629320724166228747732601473521124240353237567,0.2999986463692039
Congruência Linear,224 bits,166717614590371973902857788133237338968908959339418410513839214276,0.2999986463692039
Congruência Linear,224 bits,500152843771115921708573364399712016906726878018255231541517642835,0.2999986463692039
Congruência Linear,224 bits,1500458531313347765125720093199136050720180634054765694624552928512,0.2999986463692039
Congruência Linear,256 bits,12916700677017610138380955828281980526302890714661436998313997954188054571763,0.6000009307172149
Congruência Linear,256 bits,38750102031052830415142867484845941578908672143984310994941993862564163715296,0.2999986463692039
Congruência Linear,256 bits,458216855842295821857617445849916883456031766312368945368397579779361505959,0.5000001692678779
Congruência Linear,256 bits,1374650567526887465572852337549750650368095298937106836105192739338084517884,0.300002284348011
Congruência Linear,256 bits,4123951702580662396718557012649251951104285896811320508315578218014253553659,0.300002284348011
Congruência Linear,256 bits,12371855107741987190155671037947755853312857690433961524946734654042760660984,0.300002284348011
Congruência Linear,256 bits,37115565323225961570467013113843267559938573071301884574840203962128281982959,0.200001522898674
Congruência Linear,256 bits,111346695969677884711401039341529802679815719213905653724520611886384845948884,0.300002284348011
Congruência Linear,256 bits,102455909434401263287061148007213592332907188310435833094646667643328278566787,0.39999940781854093
Congruência Linear,256 bits,75783549828571399014041474004264961292181595600026371205024834914158576420496,0.39999940781854093
Congruência Linear,256 bits,111558560248398001618553437004106976023274802134438549575616920734562599621559,1.6000012692529708
Congruência Linear,256 bits,103091502270561614008518340994945112363284437072034520647935594187861539584812,0.39999940781854093
Congruência Linear,256 bits,77690328337052451178413052967459521383313341884822433864891614547758359474571,0.400003045797348
Congruência Linear,256 bits,1486806536524962688097188885002748443400056323186173515759675627448819143848,0.300002284348011
Congruência Linear,256 bits,4460419609574888064291566655008245330200168969558520547279026882346457431551,0.300002284348011
Congruência Linear,256 bits,13381258828724664192874699965024735990600506908675561641837080647039372294660,0.2999986463692039
Congruência Linear,256 bits,40143776486173992578624099895074207971801520726026684925511241941118116883987,0.2999986463692039
Congruência Linear,256 bits,4639240221205782312301314676534716062134577512439490737076141815441221012032,0.39999940781854093
Congruência Linear,256 bits,13917720663617346936903944029604148186403732537318472211228425446323663036103,0.2999986463692039
Congruência Linear,256 bits,41753161990852040810711832088812444559211197611955416633685276338970989108316,0.2999986463692039
Congruência Linear,256 bits,9467396735239927008564511257749425824363608170225685861598245008999837685019,0.2999986463692039
Congruência Linear,256 bits,28402190205719781025693533773248277473090824510677057584794735026999513055064,0.2999986463692039
Congruência Linear,256 bits,85206570617159343077080601319744832419272473532031172754384205080998539165199,0.19999788491986692
Congruência Linear,256 bits,24035533376845638384099833941858681551277451264812390184237447227169358215732,0.2999986463692039
Congruência Linear,256 bits,72106600130536915152299501825576044653832353794437170552712341681508074647203,0.300002284348011
Congruência Linear,256 bits,100527711154294550033327520468040226108227076717670947618679441036611094301680,0.400003045797348
Congruência Linear,256 bits,69998954988251259252840591386744862618141260821731714777123155094007023625175,0.39999940781854093
Congruência Linear,256 bits,94204775727437582334950789151546680001153797799554580291911881274107941235596,0.2999986463692039
Congruência Linear,256 bits,51030148707680356157710397437264224296921424067382612796820475806497564426923,0.39999940781854093
Congruência Linear,256 bits,37298356885724873049560207303104765037494287536507274351003843411579563640840,0.2999986463692039
Congruência Linear,256 bits,111895070657174619148680621909314295112482862609521823053011530234738690922527,0.200001522898674
Congruência Linear,256 bits,104101033496891466598899895710567069630908618497284341080119422688389813487716,0.39999940781854093
Congruência Linear,256 bits,80718922016042008949557717114325393186185886160571895161443100049343181183283,0.39999940781854093
Congruência Linear,256 bits,10572587573493636001531181325600363852017689150434557405414132132203284269984,0.2999986463692039
Congruência Linear,256 bits,31717762720480908004593543976801091556053067451303672216242396396609852809959,0.2999986463692039
Congruência Linear,256 bits,95153288161442724013780631930403274668159202353911016648727189189829558429884,0.2999986463692039
Congruência Linear,256 bits,53875686009695781194199925773834008297937637730451921867266399553662416009787,0.2999986463692039
Congruência Linear,256 bits,45834968791771148159028792312814117040542928525715201562341614653074118389432,0.39999940781854093
Congruência Linear,256 bits,21712817137997249053515391929754443268358800911505040647567259951309225528367,0.2999986463692039
Congruência Linear,256 bits,65138451413991747160546175789263329805076402734515121942701779853927676585108,0.2999986463692039
Congruência Linear,256 bits,79623265004659046058067542359102081561959223537904801788647755553869900115395,0.400003045797348
Congruência Linear,256 bits,7285616539344747327060657059930428979337701282433277287028098645783441066320,0.39999940781854093
Congruência Linear,256 bits,21856849618034241981181971179791286938013103847299831861084295937350323198967,0.2999986463692039
Congruência Linear,256 bits,65570548854102725943545913539373860814039311541899495583252887812050969596908,0.200001522898674
Congruência Linear,256 bits,80919557324991982407066755609433674588847949960057922710301079428239779150795,0.39999940781854093
Congruência Linear,256 bits,11174493500343556374058296810925208060003880548892640051988070268893078172520,0.2999986463692039
Congruência Linear,256 bits,33523480501030669122174890432775624180011641646677920155964210806679234517567,0.2999986463692039
Congruência Linear,256 bits,100570441503092007366524671298326872540034924940033760467892632420037703552708,0.2999986463692039
Congruência Linear,256 bits,70127146034643631252432043877604801913564805488820153324762729244286851378259,0.2999986463692039
Congruência Linear,256 bits,94589348866614698333725146624126497887424431800819895934830603724947424494848,0.39999940781854093
Congruência Linear,512 bits,10103841522455865168996472030706541259897708149939677149797683722384715795401189741968728779773389193220768434512354245391540165278428420835086189610347251,0.7999988156370819
Congruência Linear,512 bits,3495908707482401307841366095707931524734392808634244693945928279710619326056475272302437742986360724282241587164090634467112730211392122612391270818873568,0.5999972927384079
Congruência Linear,512 bits,10487726122447203923524098287123794574203178425902734081837784839131857978169425816907313228959082172846724761492271903401338190634176367837173812456620711,0.39999940781854093
Congruência Linear,512 bits,4647562507456417571424244864959691467650803636523415490066231629952045874361183497118191090543439663160110568103843608496506806278635963618654139357693948,0.39999940781854093
Congruência Linear,512 bits,534879592426655614698709596673228275473045088977853092475133446134373593010003514552698973463415561790299846125044774635766536023961320909528769066997755,0.6000009307172149
Congruência Linear,512 bits,1604638777279966844096128790019684826419135266933559277425400338403120779030010543658096920390246685370899538375134323907299608071883962728586307200993272,0.39999940781854093
Congruência Linear,512 bits,4813916331839900532288386370059054479257405800800677832276201015209362337090031630974290761170740056112698615125402971721898824215651888185758921602979823,0.300002284348011
Congruência Linear,512 bits,1033941065577104497291134111971317310292851581809640119105041601906322981196547916120997985345316740648063987189722864311942589835009094610843115802855380,0.6000009307172149
Congruência Linear,512 bits,3101823196731313491873402335913951930878554745428920357315124805718968943589643748362993956035950221944191961569168592935827769505027283832529347408566147,0.39999940781854093
Congruência Linear,512 bits,9305469590193940475620207007741855792635664236286761071945374417156906830768931245088981868107850665832575884707505778807483308515081851497588042225698448,0.300002284348011
Congruência Linear,512 bits,1100792910696627227712571026813875122948261067675496460389000364027192432159699781663197007989745142117663937749545234714942159921352414599896828664927159,0.5000001692678779
Congruência Linear,512 bits,3302378732089881683137713080441625368844783203026489381167001092081577296479099344989591023969235426352991813248635704144826479764057243799690485994781484,0.39999940781854093
Congruência Linear,512 bits,9907136196269645049413139241324876106534349609079468143501003276244731889437298034968773071907706279058975439745907112434479439292171731399071457984344459,0.2999986463692039
Congruência Linear,512 bits,2905792728923740949091367727562936064644317186053617675055886941290667608164800151302570619389311981796862602864749235595930552252622054304347075940865192,0.39999940781854093
Congruência Linear,512 bits,8717378186771222847274103182688808193932951558160853025167660823872002824494400453907711858167935945390587808594247706787791656757866162913041227822595583,0.300002284348011
